chapter,section,topic,refOne,refTwo,refThree,content,highlight,bookmark
23,A,,,,,"23.A General. The process of demolishing or renovating a structure can be completed in several ways. The terms “renovation”, “structural demolition”, “soft demolition” and “mechanical demolition” should be understood within the context of this section.  > See Appendix Q for definitions.",True,False
23,A,1.0,,,,"23.A.01 Demolition and renovation activities shall be performed in accordance with ANSI Standard A10.6, Safety Requirements for Demolition.",True,False
23,A,1.0,a,,,"a. Prior to initiating demolition or renovation activities, the following survey and plan shall be accomplished. > See lead and asbestos requirements in Section 06.C.",True,False
23,A,1.0,a,1.0,,"(1) Engineering Survey. An engineering survey by a Registered Professional Engineer (RPE) shall be performed of the structure to determine the structure layout, the condition of the framing, floors, walls, the possibility of unplanned collapse of any portion of the structure (any adjacent structure where employees or property may be exposed shall be similarly checked), and the existence of other potential or real demolition hazards. >Note: The engineering survey is not required for soft demolition or renovation activities as long as no load-bearing structure will be removed or demolished.",False,False
23,A,1.0,a,2.0,,"(2) Demolition/Renovation Plan. A demolition plan developed by a RPE and shall be submitted to the GDA. Plan shall be based on the engineering, lead and asbestos surveys and shall intend for the safe dismantling and removal of all building components and debris. This plan is required for all demolition and renovation activities and shall include, but is not limited to, the following basic elements: schedule; scope of work being accomplished; description of work methods, equipment, job site and key personnel; site preparation; Waste Management Plan to include Asbestos-Containing Materials (ACM)/Other Regulated Material (ORM) Abatement Plan; Site Restoration Plan and other requirements specified in a Statement of Work or as directed by the Contracting Officer (KO).",False,False
23,A,1.0,b,,,b. All employees engaged in demolition/renovation activities shall be instructed in the plan so that they may conduct their work activities in a safe manner.,False,False
23,A,2.0,,,,"23.A.02  Electric, gas, water, steam, sewer, and other service lines affected as a result of project work shall be shut off, capped, or otherwise controlled inside and outside the building line before demolition is started.",True,False
23,A,2.0,a,,,"a. In each case, any utility company that is involved shall be notified in advance.",False,False
23,A,2.0,b,,,"b. The Contractor shall provide the GDA and the Contractor’s designated authority with an engineering drawing (e.g., site plans, utility plans) that indicates the location of all service lines and the means for their control.",False,False
23,A,2.0,c,,,"c. If it is necessary to maintain any power, water, or other utilities during renovation, such lines shall be temporarily relocated and protected.",False,False
23,A,2.0,d,,,d. It shall be the responsibility of the facility owner to identify and field verify the point or points for disconnection and de-energizing electrical components and electrical service lines. > See Sections 11 and 12.,False,False
23,A,2.0,d,1.0,,(1) The Contractor must confirm that the disconnection or de-energizing has been performed prior to the start of the demolition process.,False,False
23,A,2.0,d,2.0,,"(2) De-energized electrical service shall be secured via a lock-out method and field verified by the contractor, per Section 12 and their HEC Program.",False,False
23,A,2.0,e,,,"e. If the project includes the abandonment or demolition of existing gas lines, ensure that the existing lines are accurately located and the procedures and installations for removal or replacement are accomplished in accordance with applicable sections of 29 CFR 1926.850.",False,False
23,A,2.0,f,,,"f. If the project includes fire suppression systems, the owner shall provide to the GDA confirmation or verification that the Chemical Fire Suppression (CFS) system has been deactivated and that the chemical has been removed from the system prior to the start of the renovation/demolition process. If the CFS system is found to be active after demolition has begun, the contractor shall immediately cease work and notify the GDA. The contractor shall take no action to abate or remove the CFS system or components.",False,False
23,A,3.0,,,,"23.A.03  It shall be determined if any hazardous building materials, hazardous chemicals, gases, explosives, flammable materials, or dangerous substances have been used in any building construction, pipes, tanks, or other equipment on the property.",True,False
23,A,3.0,a,,,"a. When such hazards are identified, testing shall be conducted to determine the type and concentration of the hazardous substance and test results shall be provided to the GDA and the Contractor’s designated authority.",False,False
23,A,3.0,b,,,b. Such hazards shall be controlled or eliminated before demolition is started.,False,False
23,A,3.0,c,,,"c. If Hazardous Materials (HAZMAT) are found on the project site or location after demolition has begun, the contractor shall immediately cease work and notify the GDA. The contractor shall take no action to abate or remove the HAZMAT without GDA approval.",False,False
23,A,4.0,,,,23.A.04  All ACM and ORMs shall be removed from structures in accordance with all federal and state laws before renovation/demolition begins.,True,False
