chapter,section,topic,refOne,refTwo,refThree,content,highlight,bookmark
6,A,,,,,06.A General.,True,False
6,A,1.0,,,,06.A.01 Exposure standards.,True,False
6,A,1.0,a,,,"a. Exposure, through inhalation, ingestion, skin absorption, or physical contact, to any chemical or biological agent in excess of the acceptable limits specified in the current American Conference of Governmental Industrial Hygienist (ACGIH) guideline, Threshold Limit Values and Biological Exposure Indices”",False,False
6,A,1.0,a,,,"➢Note: For Beryllium, the Department of Energy’s exposure value of 0.2 ug/m3 may be allowed with written permission from the HQUSACE-SO.",False,False
6,A,1.0,b,,,"b. In case of conflicts between ACGIH, OSHA, DoD or DA standards or regulations referenced in this manual, the more stringent shall be used as the OEL.",False,False
6,A,1.0,c,,,c. The employer shall comply with all applicable standards and regulations to reduce contaminant concentration levels As Low As is Reasonably Achievable (ALARA).,False,False
6,A,1.0,d,,,"d. Activities where occupational exposure to a chemical or biological warfare agent is possible, shall comply with current DA safety and occupational health requirements for chemical and biological agents.",False,False
6,A,1.0,e,,,"e. Activities involving ammunition and explosives or their constituents or chemical warfare agents may have additional requirements as specified in EM 385-1-97, Explosives Safety and Health Requirements Manual.",False,False
6,A,2.0,,,,06.A.02 Hazard evaluation.,True,False
6,A,2.0,a,,,"a. Jobsite operations, materials, and equipment involving potential exposure to hazardous or toxic agents or environments shall be evaluated by a qualified Industrial Hygienist, or equivalent competent person in Industrial Hygiene operations, to formulate a hazard control program. A description of the methods to be used must be accepted by the GDA or local Safety and Occupational Health Office (SOHO) before the start of the specific operation. > This evaluation shall be performed at least annually for USACE operations.",False,False
6,A,2.0,b,,,"b. Activity Hazard Analysis (AHA) and/or Position Hazard Analysis (PHA) shall be used to document the evaluation of the hazards and the controls present. The hazard evaluation shall identify all substances, agents, and environments that present a health, explosive or fire hazard to workers or visitors, the risk of the hazard, and recommend hazard control measures. Engineering and administrative controls shall be used to control hazards; in cases where engineering or administrative controls are not feasible, personal protective equipment (PPE) may be used.",False,False
6,A,2.0,c,,,"c. The hazard evaluation shall document: the nature of the evaluation (air, biological or radiological samples, etc.); that it serves as certification of hazard evaluation; the workplace and activity evaluated; the name, position and credentials of the person certifying that the evaluation has been performed; any controls and training being utilized; and the date of the evaluation. This evaluation shall be documented in a written report and available for review by the GDA or SOHO for USACE operations.",False,False
6,A,3.0,,,,06.A.03 Testing and monitoring.,True,False
6,A,3.0,a,,,a. Approved and calibrated testing devices shall be provided to measure hazardous or toxic agents and environments. Devices shall be labeled with calibration information (name of individual performing the calibration and date of the most current calibration). Calibration results shall be maintained in a calibration log.,False,False
6,A,3.0,b,,,"b. Individuals performing testing and monitoring shall be trained in hazards and testing and monitoring procedures. Testing devices shall be used, inspected, and maintained in accordance with the manufacturer's instructions, a copy of which shall be maintained with the devices.",False,False
6,A,3.0,c,,,"c. NIOSH, OSHA, Environmental Protection Agency (EPA) or DA sampling and analytical methods or other independently verified sampling and analytical methods shall be used. Laboratories used for analysis shall be accredited by nationally recognized bodies, such as the American Industrial Hygiene Association (AIHA), for the type of analysis performed.",False,False
6,A,3.0,d,,,"d. Determination of the concentration of, and hazards from, hazardous or toxic agents and environments shall be made by a qualified industrial hygienist or other competent person during initial startup and as frequently as necessary to ensure the safety and health of the workers or other potentially exposed individuals.",False,False
6,A,3.0,e,,,e. Records of testing/monitoring shall be maintained on site and shall be available to the GDA or SOHO for USACE operations upon request.,False,False
6,A,4.0,,,,"06.A.04 The following methods shall be utilized for the control of exposure to hazardous or toxic agents and environments and shall be followed in the order below, unless infeasible:",True,False
6,A,4.0,a,,,a. Substitution: if the substitute process or product is determined to provide the same outcome and to be less of a hazard;,False,False
6,A,4.0,b,,,"b. Engineering controls: (i.e., local/general ventilation), to limit exposure to hazardous or toxic agents and environments within acceptable limits;",False,False
6,A,4.0,c,,,c. Work practice controls: when engineering controls are not feasible or are not sufficient to limit exposure to hazardous or toxic agents and environments within acceptable limits;,False,False
6,A,4.0,d,,,"d. Appropriate PPE (i.e., respirators, gloves, etc.) and associated programs: shall be instituted when engineering, work practice controls, or material substitution are not feasible or are not sufficient to limit exposure to hazardous or toxic agents;",False,False
6,A,4.0,e,,,"e. Regular housecleaning (work and break area surface cleaning) and personal decontamination procedures: shall be instituted in areas where the operations generate toxic dust and fume hazards. The frequency of surface cleaning and of decontamination procedures is dependent on the nature of the hazard, and frequency and risk from the exposure and shall be documented in the Project Safety and Occupational Health (SOH) Plan or Accident Prevention Plan (APP).",False,False
6,B,,,,,06.B Hazardous or Toxic Agents Handling.,True,False
