chapter,section,topic,refOne,refTwo,refThree,content,highlight,bookmark
15,A,,,,,15.A General.,True,False
15,A,1.0,,,,15.A.01 Inspection and use.,True,False
15,A,1.0,a,,,"a. Rigging equipment shall be inspected as specified by the manufacturer, by a Competent Person (CP), before use on each shift as necessary during its use to ensure that it is safe. The CP must have training and experience equivalent to, or be under the supervision of a Qualified Rigger (QR) as defined in Appendix Q.",False,False
15,A,1.0,b,,,b. Defective rigging shall be removed from service.,False,False
15,A,1.0,c,,,"c. The use, inspection and maintenance of rigging equipment shall be in accordance with the rigging equipment manufacturer. Rigging equipment shall not be loaded in excess of its working load limit (WLL).",False,False
15,A,1.0,d,,,"d. Rigging equipment, when not in use, shall be removed from the immediate work area and properly stored and maintained in a safe condition.",False,False
15,A,2.0,,,,15.A.02 Hoist rope shall not be wrapped around the load.,True,False
15,A,3.0,,,,15.A.03 All eye splices shall be made in an approved manner per ASME B30.9.,True,False
15,A,4.0,,,,"15.A.04 When hoisting loads, a positive latching device shall be used to secure the load and rigging (e.g., self-closing or self-locking hooks, an alloy anchor type shackle with a bolt, nut and retaining pin, screw-pin shackle, etc). > See Section 15.E.07.",True,False
15,A,5.0,,,,"15.A.05 Custom fabricated grabs, hooks, clamps, or other lifting accessories (e.g., equalizing beams, lifting or spreader beams, etc.) for such units as modular panels, prefabricated structures, and similar materials shall be designed by an Registered Professional Engineer (RPE), marked to indicate the WLL and shall be proof-tested before initial use, to 125% of their WLL.",True,False
15,A,6.0,,,,"15.A.06 Structural and mechanical lifting devices shall be designed, tested and used in accordance with ASME B30.20, Below the Hook Lifting Devices.",True,False
15,B,,,,,15.B Personnel Qualifications.,True,False
15,B,1.0,,,,"15.B.01 Any worker engaged in the duties and performance of rigging shall be a Qualified Rigger (QR). Employers must determine and designate in writing the QRs and the specific rigging tasks for which they are qualified and provide to the GDA for acceptance. > Note: The term “rigger” or “Qualified Rigger (QR)” in this manual refers to the function performed, and in no way relates to the worker’s job classification or position.",True,False
15,B,1.0,a,,,a. Each QR may have different credentials or experience. A QR is a person that  :,False,False
15,B,1.0,a,1.0,,"(1) Has extensive knowledge, training and experience sufficient to calculate loads, load weights, safe capacities and apply other safe rigging principles and procedures;",False,False
15,B,1.0,a,2.0,,"(2)  Demonstrates the ability to utilize rigging materials and principles, and;",False,False
15,B,1.0,a,3.0,,(3) Is capable of safely inspecting and performing rigging operations.,False,False
15,B,1.0,b,,,"b. In addition, a QR must:",False,False
15,B,1.0,b,1.0,,(1) Be at least 18 years of age;,False,False
15,B,1.0,b,2.0,,"(2) Be able to communicate effectively with the crane operator, the lift supervisor, signal person and affected personnel on site;",False,False
15,B,1.0,b,3.0,,"(3) Have basic knowledge and understanding of equipment-operating characteristics, capabilities, and limitations and one whose competence in this skill has been demonstrated through training and experience satisfactory to management personnel.",False,False
15,B,2.0,,,,15.B.02  A QR shall also be able to demonstrate knowledge and proficiency to appropriate management personnel in the following:,True,False
15,B,2.0,a,,,a. Personnel roles and responsibilities;,False,False
15,B,2.0,b,,,"b. Site preparation (terrain, environment);",False,False
15,B,2.0,c,,,c. Rigging equipment and materials;,False,False
15,B,2.0,d,,,d. Safe Hoisting Equipment operating procedures;,False,False
15,B,2.0,e,,,e. Principles of safe rigging;,False,False
15,B,2.0,f,,,f. Environmental hazards (includes overhead interferences);,False,False
15,B,2.0,g,,,g. Rigging and handling the load;,False,False
15,B,2.0,h,,,h. Identification of hoisting-related hazards;,False,False
15,B,2.0,i,,,i. The associated hazards when employee is required to be in the fall zone to handle a load.,False,False
15,C,,,,,15.C Multiple Lift Rigging (MLR) (“Christmas Tree Rigging”). USACE allows multiple lift rigging practices for the purpose of erecting/placing structural steel ONLY.,True,False
15,C,1.0,,,,15.C.01 Strict compliance with this section and 29 CFR 1926.753 Subpart R shall be mandated.,True,False
15,C,2.0,,,,"15.C.02  A lift using a MLR Assembly is considered a critical lift. It requires a carefully detailed, written critical lift plan per Section 16.H. In addition, all details and requirements of this section are required to be addressed:",True,False
15,C,2.0,a,,,a. Identifying all multi-lift hazards on the job site;,False,False
15,C,2.0,b,,,b. Beam list;,False,False
15,C,2.0,c,,,c. Determining load capacity;,False,False
15,C,2.0,d,,,d. Determining weight of a member;,False,False
15,C,2.0,e,,,e. Proper crane hand signals;,False,False
15,C,2.0,f,,,f. Safety rules for MLR;,False,False
15,C,2.0,g,,,g. Seven-foot rule;,False,False
15,C,2.0,h,,,h. Safe route/path of load and crane;,False,False
15,C,2.0,i,,,i. Power line issues;,False,False
15,C,2.0,j,,,j. Crane requirements;,False,False
15,C,2.0,k,,,k. Marking centerlines;,False,False
15,C,2.0,l,,,l. Use of tag line;,False,False
15,C,2.0,m,,,m. Qualifications and/or certifications of the operator(s) and rigger(s) to be performing these operations;,False,False
15,C,2.0,n,,,"n. Rigging equipment: wire rope slings, hooks & shackles;",False,False
15,C,2.0,o,,,o. Clean lay-down area;,False,False
15,C,2.0,p,,,p. Cribbing;,False,False
15,C,2.0,q,,,q. Storage/staging;,False,False
15,C,2.0,r,,,r. Wind/environmental limits; and,False,False
15,C,2.0,s,,,s. Personal protective equipment.,False,False
15,C,3.0,,,,15.C.03 A lift using a MLR Assembly may only be performed if the following criteria are met:,True,False
15,C,3.0,a,,,a. A MLR assembly is used;,False,False
15,C,3.0,b,,,b. A maximum of five members are hoisted per lift;,False,False
15,C,3.0,c,,,c. Only beams and similar structural members are lifted;,False,False
15,C,3.0,d,,,d. All employees engaged in MLR shall be trained in the following:,False,False
15,C,3.0,d,1.0,,(1) The nature of the hazards associated with multiple lifts;,False,False
15,C,3.0,d,2.0,,(2) The proper procedures and equipment to perform multiple lifts required in this section and as per 29 CFR 1926.753(e).,False,False
15,C,3.0,e,,,e. All loads shall be rigged by a QR per Section 15.B;,True,False
15,C,3.0,f,,,f. No crane is permitted to be used for multiple lift where such use is contrary to the manufacturer’s specifications and limitations;,False,False
15,C,3.0,g,,,"g. Components of the MLR assembly shall be specifically designed and assembled with a maximum capacity for total assembly and for each individual attachment point. This capacity, certified by the manufacturer or a QR, shall be based on the manufacturer’s specifications with a 5:1 safety factor for all components.",False,False
15,C,3.0,h,,,h. The total load shall not exceed:,False,False
