chapter,section,topic,refOne,refTwo,refThree,content,highlight,bookmark
26,A,,,,,"26.A General. This section applies to the construction of underground tunnels, shafts, chambers, and passageways. This section also applies to cut-and-cover excavations which are both physically connected to ongoing underground construction operations within the scope of this section, and covered in such a manner as to create conditions characteristic of underground construction.",True,False
26,A,1.0,,,,26.A.01 Access and Egress.,True,False
26,A,1.0,a,,,a. Access to all underground openings shall be controlled to prevent unauthorized entry.,False,False
26,A,1.0,b,,,b. Unused access ways or other openings shall be tightly covered or fenced off and shall be posted with warning signs indicating “KEEP OUT” or similar language.,False,False
26,A,1.0,c,,,c. Completed or unused sections of underground structures shall be barricaded.,False,False
26,A,1.0,d,,,d. See Section 34 of this manual for confined space requirements.,False,False
26,A,2.0,,,,26.A.02 Every location of underground construction shall have a check-in/check-out system that will ensure that above-ground personnel can determine the identification of all underground personnel.,True,False
26,A,3.0,,,,"26.A.03 Oncoming shifts shall be informed of any hazardous occurrences or conditions that have affected or might affect employee safety, including liberation of gas, equipment failures, earth or rock slides, cave-ins, flooding, fires, or explosions.",True,False
26,A,4.0,,,,26.A.04 Communications.,True,False
26,A,4.0,a,,,"a. In situations where unassisted voice communication is inadequate, power-assisted means shall be used to provide communication among workers and support personnel.",False,False
26,A,4.0,b,,,b. At least two effective means of communication (at least one of which shall be voice communication) shall be provided in all shafts that are being developed or used either for personnel access or for hoisting.,False,False
26,A,4.0,c,,,c. Powered communication systems shall operate on an independent power supply and shall be installed so that the use of or disruption of any one phone or signal location will not disrupt the operation of the system from any other location.,False,False
26,A,4.0,d,,,d. Communication systems shall be tested upon initial entry of each shift to the underground and as often as necessary thereafter to ensure proper operation.,False,False
26,A,4.0,e,,,"e. Any employee working alone underground, who is both out of range of natural unassisted voice communication and not under observation by other persons, shall be provided with effective means to communicate the need for and to obtain emergency assistance. Employees working alone shall be required to check in with their supervisor at least once an hour.",False,False
26,A,5.0,,,,26.A.05 Emergency rescue plans and equipment.,True,False
26,A,5.0,a,,,a. Plans for rescuing personnel who might become injured or incapacitated while underground or in a shaft or caisson shall be developed.,False,False
26,A,5.0,a,1.0,,(1) Plans shall be incorporated in either the APP or the AHA and posted at the job site.,False,False
26,A,5.0,a,2.0,,(2) Plans shall be periodically reviewed with all affected personnel so that they maintain a working knowledge of emergency responsibilities and procedures.,False,False
26,A,5.0,a,3.0,,(3) Emergency plans shall be drilled on a periodic basis to ensure their efficacy.,False,False
26,A,5.0,b,,,b. Emergency equipment specified in the emergency plan shall be provided within 15 minutes of each portal or shaft entry. Inspections and workability tests of the equipment shall be made and documented monthly.,False,False
26,A,5.0,c,,,"c. When a shaft is used as a means of egress, arrangements shall be made for power-assisted hoisting capability to be readily available in an emergency, unless the regular hoisting means can continue to function during a power failure.",False,False
