chapter,section,topic,refOne,refTwo,refThree,content,highlight,bookmark
3,A,,,,,03.A General.,True,False
3,A,1.0,,,,"03.A.01 Prior to the start of work by a contractor and for all USACE locations, arrangements shall be made for medical facilities and personnel to provide prompt attention to injured employees. For work or tasks with a high or extremely high risk assessment code (RAC) on the Activity Hazard Analysis (AHA), the arrangements with the medical facility shall be confirmed in writing. > See Sections 01.A.14 and 01.A.15.",True,False
3,A,1.0,a,,,"a. An effective means of communication (i.e., hard-wired or cellular telephone, two-way radio, etc.) with #911 access or other emergency response source, and transportation to effectively care for injured workers shall be provided. Communication devices shall be tested in the area of use to assure functionality.",False,False
3,A,1.0,b,,,"b. The telephone numbers of physicians, hospitals, or ambulances shall be conspicuously posted, at a minimum, on the safety bulletin board and near the on-site project office telephones. Medical facilities and personnel expected to treat injured employees shall be informed of the nature of the work to be performed and the injuries/illnesses prevalent on such jobsites. Depending on the scope and size of the job, the GDA may require a formal written agreement.",False,False
3,A,1.0,c,,,"c. A highly visible map delineating the best route to the nearest medical facility shall be prepared and posted on the safety bulletin board. For mobile field crews, it shall be readily available.",False,False
3,A,2.0,,,,03.A.02 First aid and cardiopulmonary resuscitation (CPR) availability.,True,False
3,A,2.0,a,,,"a. When emergency medical services are not accessible within 5 minutes of work location and there are 2 or more workers at the location, at least 2 employees on each shift shall be qualified to administer first aid and CPR.  > Minimum qualifications are listed in Section 03.D.",True,False
3,A,2.0,b,,,"b. For job sites with more than 100 employees on one shift, a list of qualified individuals shall be maintained by the site security personnel and in the site trailer. > Minimum qualifications are listed in Section 03.D.",True,False
3,A,2.0,c,,,"c. Training and Retraining. First aid attendants shall hold current certification in first aid and CPR from the American Red Cross (ARC), the American Heart Association (AHA), or from an organization whose training adheres to the standards of the International Liaison Committee on Resuscitation (as stated in writing), or from a Licensed Physician.",False,False
3,A,2.0,c,1.0,,(1) All classes shall contain a hands-on component that cannot be taken online.,False,False
3,A,2.0,c,2.0,,(2) The certificate(s) shall state the date of issue and length of validity.,False,False
3,A,2.0,c,3.0,,(3) All first aid and CPR attendants shall be retrained every 2 years.,False,False
3,A,2.0,d,,,d. Individuals who are required to work alone in remote areas shall be trained in first aid and shall be provided with an effective means of communication to call for assistance in the event of an emergency.,False,False
3,A,3.0,,,,03.A.03 First aid and medical facility requirements.,True,False
3,A,3.0,a,,,"a. All projects, activities, or contracts (USACE or contractor operated), for which fewer than 100 persons are employed (greatest total number of employees on a shift) at the site of the work, and where neither a first aid station nor a health clinic is available or the site is more than 5 minutes from a hospital, medical clinic, or doctors’ office which has agreed to provide emergency medical support, shall be provided with a first aid kit complying with the criteria contained in ANSI Z308.1.",False,False
3,A,3.0,a,1.0,,(1) There shall be one first aid kit for every 25 (or fewer) employees.,False,False
3,A,3.0,a,2.0,,"(2) In addition to the basic fill requirements of the first aid kit, the contractor or local USACE Safety and Occupational Health Office (SOHO), in consultation with a health care professional, shall evaluate the hazards found in the work environment to determine the necessity of optional fill contents.",False,False
3,A,3.0,b,,,"b. All projects, activities, or contracts (USACE or contractor operated) for which more than 99 and fewer than 300 persons are employed (greatest total number of employees on a shift) at the site of the work, shall establish and equip a first aid station (per Section 03.C).  In non-rural locations, the use of a medical clinic, hospital, or doctor’s office, that has agreed to provide emergency medical support and is accessible within 5 minutes of the work location, may be approved instead of a first aid station, provided at least two employees per shift are CPR qualified as defined in 03.A.02.c and a first aid kit complying with the criteria contained in ANSI Z308.1 is available.",True,False
3,A,3.0,c,,,"c. Where tunnels are being excavated, a first aid station and transportation facilities shall be provided so that treatment is available within 5 minutes of the occurrence of an injury.",False,False
3,A,3.0,d,,,"d. All medium, high, or extremely high risk operations, projects, activities, or contracts (USACE or contractor operated) for which 300 or more persons are employed (greatest total number of employees on a shift) at the site of the work shall establish and equip, as directed by a licensed physician, a health clinic. Requirements for health clinics are in Section 03.C.",True,False
3,A,3.0,e,,,"e. All locations where the work efforts are primarily administrative, such as a district or regulatory office, shall have either: an accessible, staffed infirmary in the building or a medical clinic, hospital, or doctors’ office that has agreed to provide emergency medical support and is accessible within 5 minutes. If an outside emergency medical clinic, hospital, or doctor’s office is used, the location shall also have a minimum of 2 employees on each shift qualified to administer first aid and CPR and are trained according to Section 03.A.02.c. The work location shall also have several first aid kits meeting the requirements of this document.",True,False
3,A,4.0,,,,"03.A.04 Should work activities present any potential exposure (of any part of the body) to toxic or corrosive materials, drenching and/or flushing facilities shall be provided in the work area for immediate emergency use. > See Section 06.B.",True,False
3,A,5.0,,,,03.A.05 Blood-Borne Pathogen (BBP) Program. Employees designated as responsible for rendering first aid or medical assistance shall be included in their employer's BBP program in accordance with 29 CFR 1910.1030 and shall:,True,False
3,A,5.0,a,,,"a. Be instructed in the sources, hazards, and avoidance of BBPs and be provided the training specified in 29 CFR 1910.1030;",False,False
3,A,5.0,b,,,"b. Be provided with, and shall use and maintain, PPE (i.e., breathing barrier, latex-free gloves, gowns, masks, eye protectors, and/or resuscitation equipment) when appropriate for rendering first aid or other medical assistance to prevent contact with blood or other potentially infectious materials;",False,False
3,A,5.0,c,,,"c. Institute a site-specific BBP program to include a site-specific Exposure Control Plan with provisions for engineering and administrative controls, Hepatitis B vaccination, PPE, training, recordkeeping, and a Post-Exposure Control Plan in the event of a blood-borne exposure. Post-exposure protocol shall include a plan to ensure immediate medical evaluation of exposed individual(s) per current recommendations of the Center for Disease Control (CDC) for human immunodeficiency virus (HIV), Hepatitis B virus (HBV), and Hepatitis C virus (HCV).",False,False
3,A,6.0,,,,"03.A.06 Prior to the start of work outside the employee’s normal geographical area, the employer shall inform employees of parasitic, bacterial, viral and environmental diseases endemic to the geographical work location (i.e., Lyme Disease, West Nile Virus, Hantavirus, Histoplasmosis, Rocky-Mountain Spotted Fever, Dengue Fever, Malaria, etc.)",True,False
3,A,6.0,a,,,"a. For guidance on the potential biological and environmental diseases in the work location, the employer shall consult the CDC Travel webpage, U.S. Army Public Health Command – Institute of Public Health web site, and the health department in the local area.",False,False
3,A,6.0,b,,,b. Information to be provided to the employee traveling in areas where such diseases are endemic shall include:,False,False
3,A,6.0,b,1.0,,(1) Modes of disease transmission;,False,False
3,A,6.0,b,2.0,,(2) Specific health risks associated with the disease;,False,False
3,A,6.0,b,3.0,,"(3) Preventive measures such as available vaccines and PPE (gloves, eye and skin protection, respirator);",False,False
3,A,6.0,b,4.0,,"(4) Appropriate work practices to prevent contact with infected agents (bird/rodent droppings, etc.), such as watering areas prior to dust-generating activities;",False,False
3,A,6.0,b,5.0,,"(5) Vaccine information, to include information on the effectiveness, risk, and availability;",False,False
3,A,6.0,b,6.0,,(6) Safe removal of source where applicable;,False,False
3,A,6.0,b,7.0,,(7) Symptom recognition and medical referral.,False,False
3,B,,,,,03.B First Aid Kits.,True,False
3,B,1.0,,,,03.B.01 The performance requirements of the first aid kits shall be based on the storage area location of the first aid kit and shall conform to ANSI/ISEA Z308.1. Content of all first aid kits shall be to the level of training attained by the responders using the first aid kit.,True,False
3,B,1.0,a,,,"a. Type I kits are intended for use in stationary, indoor settings where the potential for damage of kit supplies due to environmental factors and rough handling is minimal. Type I first aid kits are required to contain the minimum fill in Table 3-1.",False,False
3,B,1.0,b,,,"b. Type II , Type III, and Type IV first aid kits shall, at a minimum, meet the requirements of the minimum fill in Table 3-1:",False,False
3,B,1.0,b,1.0,,(1) Type II kits are for portable indoor settings where the potential for damage of kit supplies due to environmental factors and rough handling is minimal;,False,False
3,B,1.0,b,2.0,,"(2) Type III kits are for portable use in mobile, indoor and/or outdoor settings where the potential for damage of kit supplies due to environmental factors is not probable (includes general indoor, sheltered outdoor use).",False,False
3,B,1.0,b,3.0,,"(3) Type IV kits are intended for portable use in mobile industries (i.e., utilities, construction, transportation, armed forces) and/or outdoor settings where the potential for damage of kit supplies due to environmental factors and rough handling is significant.",False,False
3,B,1.0,c,,,"c. The contents of the first aid kit shall, at a minimum, contain the items detailed in Table 3-1.",False,False
3,B,1.0,d,,,d. First aid kits shall be easily accessible to all workers and protected from the weather. The individual contents of the first aid kits shall be kept sterile. First aid kit locations shall be clearly marked and distributed throughout the site(s).,False,False
3,B,2.0,,,,"03.B.02 The contents of first aid kits shall be checked by the employer prior to their use on site and at least every 3 months when work is in progress to ensure that they are complete, in good condition, and have not expired.",True,False
3,B,3.0,,,,03.B.03 All employees who work where there is a first aid kit shall receive a tool box training on the content and use of the kit supplies,True,False
3,B,4.0,,,,"03.B.04 Automatic External Defibrillator (AED). The placement of AEDs is optional (except for health clinics, see 03.C.03.d) but highly recommended. The placement of AEDs on the worksite shall be preceded by an assessment of the time and distance to emergency medical services (EMS) and a justification for such equipment. For the ease of use and program maintenance, all AEDs in a location and/or Command should be the same manufacturer and model. For guidance, USACE facilities should refer to Guidelines for Public Access Defibrillation Programs in Federal Facilities (www.foh.dhhs.gov/whatwedo/aed/hhsaed.asp).  An AED program shall include, at minimum:",True,False
3,B,4.0,a,,,a.Training and Retraining: Workers required to use an AED shall be trained per Section 03.A.02.c.  All classes shall contain a hands-on component and cannot be taken online. Training shall be on the same model and manufacturer of AED available in the work area. The certificate(s) shall state the date of issue and length of validity;,True,False
3,B,4.0,b,,,b. Licensed Physician direction and oversight;,False,False
3,B,4.0,c,,,c. Documented weekly battery and functionality checks;,False,False
3,B,4.0,d,,,"d. Standard Operating Procedures (SOPs) for placement, maintenance, inspections, and EMS activation;",False,False
3,B,4.0,e,,,"e. Equipment Maintenance Program based on the manufacturer’s recommendations that, at a minimum, shall include pad replacement (regular and after use) and battery replacement.",False,False
3,C,,,,,03.C First Aid Stations and Health Clinics.,True,False
3,C,1.0,,,,03.C.01 General.,True,False
